City,Date,AQI
"Kuda, warangal",01-07-2018,72.83081152
"Kuda, warangal",01-08-2018,78.63888889
"Kuda, warangal",01-09-2018,80.74768273
"Kuda, warangal",01-10-2018,85.71369782
"Kuda, warangal",01-11-2018,95.66666667
"Kuda, warangal",01-12-2018,86
"Kuda, warangal",01-01-2020,91.51851852
"Kuda, warangal",01-02-2020,88
"Kuda, warangal",01-03-2020,65
"Kuda, warangal",01-04-2020,38
"Kuda, warangal",01-05-2020,41
"Kuda, warangal",01-06-2020,42.11111111
"Kuda, warangal",01-07-2020,57
"Kuda, warangal",01-08-2020,67.25
"Kuda, warangal",01-09-2020,51
"Kuda, warangal",01-10-2020,59
"Kuda, warangal",01-11-2020,85.33333333
"Kuda, warangal",01-12-2020,59.44444444
"Kuda, warangal",01-01-2021,78.22222222
"Kuda, warangal",01-02-2021,85
"Kuda, warangal",01-03-2021,57
"Kuda, warangal",01-04-2021,58
"Kuda, warangal",01-05-2021,43
"Kuda, warangal",01-06-2021,44
"Kuda, warangal",01-07-2021,86
"Kuda, warangal",01-08-2021,40
"Kuda, warangal",01-09-2021,63.85475305
"Kuda, warangal",01-10-2021,49
"Kuda, warangal",01-11-2021,58
"Kuda, warangal",01-12-2021,55
"Kuda, warangal",01-01-2022,78.22222222
"Kuda, warangal",01-02-2022,85
"Kuda, warangal",01-03-2022,57
"Kuda, warangal",01-04-2022,58
"Kuda, warangal",01-05-2022,43
"Kuda, warangal",01-06-2022,44
"Kuda, warangal",01-07-2022,86
"Kuda, warangal",01-08-2022,40
"Kuda, warangal",01-09-2022,63.85475305
"Kuda, warangal",01-10-2022,49
"Kuda, warangal",01-11-2022,58
"Kuda, warangal",01-12-2022,55
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-01-2021,60
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-02-2021,59
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-03-2021,59
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-04-2021,61
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-05-2021,49
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-06-2021,54
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-07-2021,54
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-08-2021,46
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-09-2021,48
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-10-2021,65
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-11-2021,58
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-12-2021,59
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-01-2022,60
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-02-2022,59
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-03-2022,59
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-04-2022,61
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-05-2022,49
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-06-2022,54
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-07-2022,54
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-08-2022,46
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-09-2022,48
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-10-2022,65
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-11-2022,58
"Marketing Office Building, Beat Market, Hyd Road Nalgonda ",01-12-2022,59
"Mee-Seva, Warangal",01-01-2017,75.88888889
"Mee-Seva, Warangal",01-02-2017,77.85185185
"Mee-Seva, Warangal",01-03-2017,70.77777778
"Mee-Seva, Warangal",01-04-2017,72
"Mee-Seva, Warangal",01-05-2017,68.04166667
"Mee-Seva, Warangal",01-06-2017,61.16666667
"Mee-Seva, Warangal",01-07-2017,47.5
"Mee-Seva, Warangal",01-08-2017,59.54166667
"Mee-Seva, Warangal",01-09-2017,61.57142857
"Mee-Seva, Warangal",01-10-2017,62.46296296
"Mee-Seva, Warangal",01-11-2017,75.51851852
